,row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_count,opening_theater_count,release_date,close_date,twitter1,twitter2,twitter3,twitter4,twitter5,RT_title,critics_rating,audience_rating
164,164,81,Kidnap (2017),Aviron,"$30,718,107","2,418","$10,016,323","2,378",8/4/17,11/16/17,KidnapMovie,,,,,Kidnap_2017,37.0,50.0
165,165,110,Detroit,Annapurna,"$16,790,139","3,007","$350,190",20,8/4/17,10/12/17,DetroitMovie.,,,,,detroit_2017,83.0,79.0
166,166,37,The Emoji Movie,Sony,"$86,089,513","4,075","$24,531,923","4,075",7/28/17,11/30/17,emojimovie,,,,,The_Emoji_Movie,8.0,39.0
167,167,54,Atomic Blonde,Focus,"$51,687,870","3,326","$18,286,420","3,304",7/28/17,10/5/17,atomicblonde,atomicblonde,,,,atomic_blonde_2017,77.0,64.0
168,168,14,Dunkirk,WB,"$188,045,546","4,014","$50,513,488","3,720",7/21/17,11/23/17,dunkirkmovie,dunkirk,,,,dunkirk_2017,92.0,81.0
169,169,27,Girls Trip,Uni.,"$115,171,585","2,648","$31,201,920","2,591",7/21/17,10/19/17,girlstripmovie ‏,,,,,Girls_Trip,90.0,79.0
170,170,67,Valerian and the City of a Thousand Planets,STX,"$41,189,488","3,553","$17,007,624","3,553",7/21/17,9/21/17,valerian,valerianmovie,valerianmovie,,,Valerian_and_the_City_of_a_Thousand_Planets,49.0,54.0
171,171,23,War for the Planet of the Apes,Fox,"$146,880,162","4,100","$56,262,929","4,022",7/14/17,11/30/17,warfortheplanetoftheapes,,,,,War_for_the_Planet_of_the_Apes,93.0,84.0
172,172,66,The Big Sick,LGF,"$42,873,127","2,597","$421,577",5,7/14/17,10/22/17,TheBigSick,,,,,The_Big_Sick,98.0,88.0
173,173,112,Wish Upon,BG,"$14,301,505","2,250","$5,467,084","2,250",7/14/17,10/12/17,WishUpon,,,,,Wish_Upon,16.0,31.0
174,174,6,Spider-Man: Homecoming,Sony,"$334,201,140","4,348","$117,027,503","4,348",7/7/17,11/30/17,spidermanhomecoming,,,,,Spider-Man_Homecoming,92.0,88.0
175,175,9,Despicable Me 3,Uni.,"$264,624,300","4,535","$72,434,025","4,529",6/30/17,12/21/17,despicableme3,,,,,Despicable_Me_3,59.0,54.0
176,176,90,The House,WB (NL),"$25,584,504","3,134","$8,724,795","3,134",6/30/17,8/31/17,TheHouse,,,,,the_house_2017,18.0,36.0
177,177,121,The Beguiled (2017),Focus,"$10,709,995",941,"$229,292",4,6/30/17,8/17/17,beguiled,,,,,The_Beguiled_2017,78.0,48.0
178,178,133,Beatriz At Dinner,RAtt.,"$7,115,854",683,"$141,959",5,6/30/17,10/5/17,beatrizatdinner,,,,,Beatriz_At_Dinner,74.0,55.0
179,179,29,Baby Driver,TriS,"$107,825,862","3,226","$20,553,320","3,226",6/28/17,10/19/17,babydriver,,,,,Baby_Driver,93.0,86.0
180,180,143,The Book of Henry,Focus,"$4,504,974",650,"$1,424,540",579,6/23/17,8/17/17,thebookofhenry,thebookofhenry,,,,The_Book_of_Henry,20.0,63.0
181,181,26,Transformers: The Last Knight,Par.,"$130,168,683","4,132","$44,680,073","4,069",6/21/17,8/24/17,transformers5,transformersthelastknight,,,,Transformers_The_Last_Knight,16.0,44.0
182,182,22,Cars 3,BV,"$152,901,115","4,256","$53,688,680","4,256",6/16/17,11/2/17,cars3,,,,,Cars_3,68.0,70.0
183,183,63,All Eyez on Me,LG/S,"$44,922,302","2,471","$26,435,354","2,471",6/16/17,8/3/17,AllEyezOnMe,,,,,all_eyez_on_me_2017,17.0,53.0
184,184,65,47 Meters Down,ENTMP,"$44,307,192","2,471","$11,205,561","2,270",6/16/17,10/19/17,47metersdown,,,,,47_Meters_Down,55.0,36.0
185,185,96,Rough Night,Sony,"$22,105,643","3,162","$8,004,283","3,162",6/16/17,8/31/17,RoughNight,,,,,Rough_Night,44.0,29.0
186,186,40,The Mummy (2017),Uni.,"$80,227,895","4,035","$31,688,375","4,035",6/9/17,8/24/17,themummy,,,,,The_Mummy_2017,15.0,35.0
187,187,113,It Comes At Night,A24,"$13,985,117","2,533","$5,988,370","2,533",6/9/17,9/17/17,ItComesAtNight,,,,,It_Comes_At_Night,88.0,44.0
188,188,115,Megan Leavey,BST,"$13,406,883","1,956","$3,810,867","1,956",6/9/17,9/14/17,meganleavey,,,,,Megan_Leavey,84.0,82.0
189,189,3,Wonder Woman,WB,"$412,563,408","4,165","$103,251,471","4,165",6/2/17,11/9/17,wonderwomanmovie,WonderWoman,WonderWomanFilm,,,Wonder_Woman,88.0,78.0
190,190,43,Captain Underpants: The First Epic Movie,Fox,"$73,921,000","3,529","$23,851,539","3,434",6/2/17,11/2/17,captainunderpants,,,,,Captain_Underpants_The_First_Epic_Movie,86.0,61.0
191,191,19,La La Land,LG/S,"$151,101,803","3,236","$881,104",5,12/25/16,4/27/16,lalaland,,,,,La_La_Land,92.0,81.0
192,192,57,Fences,Par.,"$57,682,904","2,368","$129,462",4,12/25/16,3/30/16,FencesMovie,,,,,fences_2016,94.0,75.0
193,193,54,Why Him?,Fox,"$60,323,786","3,008","$11,002,986","2,917",12/23/16,3/23/16,WhyHim,WhyHimMovie,,,,Why_Him?,38.0,51.0
194,194,10,Sing,Uni.,"$270,395,425","4,029","$35,258,145","4,022",12/21/16,5/11/16,singmovie,passengers,,,,Sing,43.0,90.0
195,195,30,Passengers (2016),Sony,"$100,014,699","3,478","$14,869,736","3,478",12/21/16,4/20/16,passengers,passengersmovie,,,,Passengers_2016,31.0,63.0
196,196,63,Assassin's Creed,Fox,"$54,647,948","2,996","$10,278,225","2,970",12/21/16,3/9/16,AssassinsCreed,,,,,Assassins_Creed,19.0,43.0
197,197,1,Rogue One: A Star Wars Story,BV,"$532,177,324","4,157","$155,081,681","4,157",12/16/16,5/4/16,rogueone,RogueOneMovie,starwars,,,Rogue_One_A_Star_Wars_Story,85.0,87.0
198,198,68,Manchester by the Sea,RAtt.,"$47,695,371","1,213","$256,498",4,12/16/16,4/27/16,manchesterbythesea,mbtsmovie,,,,Manchester_by_the_Sea,95.0,77.0
199,199,86,Collateral Beauty,WB (NL),"$31,016,021","3,028","$7,102,085","3,028",12/16/16,2/9/16,collateralbeauty,CBeautyMovie,,,,Collateral_Beauty,14.0,64.0
200,200,62,Office Christmas Party,Par.,"$54,767,494","3,210","$16,890,204","3,210",12/9/16,1/26/16,OfficeChristmasParty,officexmasparty,,,,Office_Christmas_Party,41.0,41.0
201,201,132,Nocturnal Animals,Focus,"$10,663,357","1,262","$492,648",37,12/9/16,1/26/16,nocturnalanimals,,,,,Nocturnal_Animals,72.0,73.0
202,202,154,Miss Sloane,EC,"$3,500,605","1,648","$59,797",3,12/9/16,1/2/16,misssloane,missloanemovie,,,,Miss_Sloane,76.0,71.0
203,203,165,The Bounce Back,VPD,"$321,910",615,"$227,354",615,12/9/16,12/22/16,bouncebackfilm,TheBounceBack,,,,The_Bounce_Back,67.0,77.0
204,204,146,Incarnate,BH Tilt,"$4,799,774","1,737","$2,534,884","1,737",12/2/16,12/29/16,Incarnate,,,,,incarnate_2016,17.0,24.0
205,205,163,Believe (2016),Free,"$890,303",638,"$477,387",638,12/2/16,1/5/16,thebelievefilm,thebelievefilm,,,,Believe_2016,33.0,69.0
206,206,11,Moana,BV,"$248,757,044","3,875","$56,631,401","3,875",11/23/16,4/27/16,moana,disneymoana,,,,Moana,82.0,69.0
207,207,75,Allied,Par.,"$40,098,064","3,160","$12,701,743","3,160",11/23/16,1/26/16,AlliedMovie,,,,,Allied,59.0,64.0
208,208,111,Bad Santa 2,BG,"$17,782,178","2,945","$6,176,680","2,920",11/23/16,1/26/16,badsanta,BadSanta2,,,,Bad_Santa_2,23.0,34.0
209,209,153,Rules Don't Apply,Fox,"$3,652,206","2,386","$1,589,625","2,382",11/23/16,12/22/16,RulesDontApply,,,,,Rules_Dont_Apply,57.0,33.0
210,210,12,Fantastic Beasts and Where To Find Them,WB,"$234,037,575","4,144","$74,403,387","4,144",11/18/16,3/30/16,fantasticbeasts,moonlightmov,,,,Fantastic_Beasts_and_Where_To_Find_Them,74.0,79.0
211,211,90,Moonlight (2016),A24,"$27,854,932","1,564","$402,075",4,11/18/16,5/4/16,moonlight,moonlightmov,,,,Moonlight_2016,98.0,79.0
212,212,121,The Edge of Seventeen,STX,"$14,431,633","1,945","$4,754,215","1,945",11/18/16,1/5/16,edgeof17,,,,,The_Edge_of_Seventeen,95.0,83.0
213,213,145,Bleed for This,ORF,"$5,083,906","1,549","$2,366,810","1,549",11/18/16,12/15/16,BleedForThis,BleedForThis,,,,Bleed_for_This,70.0,69.0
214,214,159,Billy Lynn's Long Halftime Walk,TriS,"$1,738,477","1,176","$114,129",2,11/18/16,12/15/16,BillyLynn,,,,,Billy_Lynns_Long_Halftime_Walk,45.0,41.0
215,215,29,Arrival,Par.,"$100,546,139","3,115","$24,074,047","2,317",11/11/16,3/9/16,ArrivalMovie,,,,,arrival_2016,94.0,82.0
216,216,73,Almost Christmas,Uni.,"$42,158,780","2,379","$15,134,235","2,376",11/11/16,1/12/16,AlmostChristmas,,,,,Almost_Christmas,46.0,22.0
217,217,141,Shut In,EC,"$6,900,335","2,058","$3,613,567","2,058",11/11/16,1/2/16,ShutIn,,,,,Shut_In,8.0,22.0
218,218,13,Doctor Strange,BV,"$232,641,920","3,882","$85,058,311","3,882",11/4/16,3/16/16,DoctorStrange,,,,,doctor_strange_2016,89.0,86.0
219,219,18,Trolls,Fox,"$153,707,064","4,066","$46,581,142","4,060",11/4/16,3/30/16,DreamWorksTrolls,,,,,Trolls,74.0,68.0
220,220,46,Hacksaw Ridge,LGF,"$67,209,615","2,971","$15,190,758","2,886",11/4/16,3/9/16,HacksawRidge,,,,,Hacksaw_Ridge,86.0,91.0
221,221,83,Inferno,Sony,"$34,343,574","3,576","$14,860,425","3,576",10/28/16,1/19/16,InfernoMovie,,,,,inferno_2016,22.0,36.0
222,222,42,Boo! A Madea Halloween,LGF,"$73,206,343","2,299","$28,501,448","2,260",10/21/16,12/22/16,Boo2,,,,,Boo_A_Madea_Halloween,23.0,53.0
223,223,56,Jack Reacher: Never Go Back,Par.,"$58,697,076","3,780","$22,872,490","3,780",10/21/16,1/12/16,JackReacherMovie,,,,,Jack_Reacher_Never_Go_Back,37.0,42.0
224,224,81,Ouija: Origin of Evil,Uni.,"$35,144,505","3,168","$14,065,500","3,167",10/21/16,12/29/16,OuijaMovie ,,,,,Ouija_Origin_of_Evil,83.0,57.0
225,225,117,Keeping Up with the Joneses,Fox,"$14,904,426","3,022","$5,461,475","3,022",10/21/16,12/29/16,KeepingUpWithTheJoneses ,,,,,Keeping_Up_with_the_Joneses,20.0,37.0
226,226,149,Denial,BST,"$4,073,489",648,"$93,728",5,10/21/16,12/19/16,denialmovie ,,,,,denial_2016,83.0,71.0
227,227,36,The Accountant,WB,"$86,260,045","3,402","$24,710,273","3,332",10/14/16,1/12/16,TheAccountant,,,,,the_accountant_2016,52.0,76.0
228,228,98,Kevin Hart: What Now?,Uni.,"$23,591,043","2,567","$11,767,210","2,567",10/14/16,12/15/16,KevinHart4real,,,,,Kevin_Hart_What_Now?,78.0,58.0
229,229,151,Max Steel,ORF,"$3,818,664","2,034","$2,182,216","2,034",10/14/16,11/3/16,MaxSteel ,,,,,Max_Steel,0.0,48.0
230,230,41,The Girl on the Train (2016),Uni.,"$75,395,035","3,241","$24,536,265","3,144",10/7/16,12/29/16,thegirlonthetrain,,,,,The_Girl_on_the_Train_2016,45.0,49.0
231,231,106,Middle School: The Worst Years of My Life,LGF,"$20,007,149","2,822","$6,878,437","2,822",10/7/16,12/1/16,middleschoolmovie ,,,,,Middle_School_The_Worst_Years_of_My_Life,58.0,58.0
232,232,114,The Birth of a Nation,FoxS,"$15,861,566","2,105","$7,004,254","2,105",10/7/16,12/8/16,TheBirthOfANation ,,,,,the_birth_of_a_nation_2016,72.0,72.0
233,233,35,Miss Peregrine's Home for Peculiar Children,Fox,"$87,242,834","3,835","$28,871,140","3,522",9/30/16,2/9/16,MissPeregrine,,,,,Miss_Peregrines_Home_for_Peculiar_Children,63.0,60.0
234,234,53,Deepwater Horizon,LG/S,"$61,433,527","3,403","$20,223,544","3,259",9/30/16,12/15/16,DeepwaterHorizon,,,,,Deepwater_Horizon,83.0,82.0
235,235,112,Masterminds (2016),Rela.,"$17,368,022","3,042","$6,541,205","3,042",9/30/16,11/10/16,Masterminds,,,,,Masterminds_2016,34.0,35.0
236,236,138,Queen of Katwe,BV,"$8,874,389","1,259","$304,933",52,9/30/16,1/5/16,QueenOfKatwe,,,,,Queen_of_Katwe,93.0,87.0
237,237,32,The Magnificent Seven (2016),Sony,"$93,432,655","3,696","$34,703,397","3,674",9/23/16,1/5/16,Mag7,,,,,The_Magnificent_Seven_2016,63.0,72.0
238,238,43,Storks,WB,"$72,679,278","3,922","$21,311,407","3,922",9/23/16,1/12/16,Storks,,,,,Storks,64.0,62.0
239,239,97,Bridget Jones's Baby,Uni.,"$24,252,420","2,930","$8,571,785","2,927",9/16/16,12/15/16,BridgetJonesBaby,,,,,Bridget_Joness_Baby,77.0,65.0
240,240,100,Snowden,ORF,"$21,587,519","2,443","$8,000,058","2,443",9/16/16,11/17/16,Snowden,,,,,Snowden,61.0,70.0
241,241,103,Blair Witch,LGF,"$20,777,061","3,121","$9,576,057","3,121",9/16/16,10/27/16,blairwitch,,,,,Blair_Witch,35.0,31.0
242,242,157,Hillsong - Let Hope Rise,PFR,"$2,394,386",816,"$1,357,243",816,9/16/16,10/23/16,HillsongMovie,,,,,Hillsong_Let_Hope_Rise,60.0,79.0
243,243,24,Sully,WB,"$125,070,033","3,955","$35,028,301","3,525",9/9/16,1/26/16,Sully,,,,,Sully,86.0,84.0
244,244,88,When the Bough Breaks,SGem,"$29,747,603","2,246","$14,202,323","2,246",9/9/16,11/17/16,WhenTheBoughBreaks ,,,,,when_the_bough_breaks_2016,11.0,46.0
245,245,140,The Wild Life (2016),LG/S,"$8,005,586","2,493","$3,342,696","2,493",9/9/16,10/13/16,WildlifeTheFilm,,,,,the_wild_life,16.0,28.0
246,246,156,The Disappointments Room,Rela.,"$2,423,468","1,554","$1,402,823","1,554",9/9/16,10/27/16,TheDisappointmentsRoom,,,,,The_Disappointments_Room,0.0,17.0
247,247,126,The Light Between Oceans,BV,"$12,545,979","1,500","$4,765,838","1,500",9/2/16,11/3/16,LightBetweenOceans,,,,,The_Light_Between_Oceans,59.0,61.0
248,248,150,Morgan,Fox,"$3,915,251","2,020","$2,012,709","2,020",9/2/16,10/6/16,WhatIsMorgan,,,,,Morgan,69.0,79.0
249,249,34,Don't Breathe,SGem,"$89,217,875","3,384","$26,411,706","3,051",8/26/16,12/22/16,DontBreathe,,,,,dont_breathe_2016,88.0,78.0
250,250,93,Hell or High Water,LGF,"$27,007,844","1,505","$621,329",32,8/26/16,11/17/16,HOHWMovie,,,,,Hell_or_High_Water,97.0,88.0
251,251,101,Mechanic: Resurrection,LG/S,"$21,218,403","2,258","$7,456,525","2,258",8/26/16,10/27/16,MechanicResurrection,,,,,Mechanic_Resurrection,31.0,40.0
252,252,144,Southside with You,RAtt.,"$6,304,223",897,"$2,868,403",813,8/26/16,11/3/16,SouthsideWithYou,,,,,Southside_with_You,92.0,72.0
253,253,147,Hands of Stone,Wein.,"$4,712,792","2,011","$1,751,388",810,8/26/16,10/13/16,HandsOfStone ,,,,,Hands_of_Stone,44.0,52.0
254,254,67,Kubo and the Two Strings,Focus,"$48,023,088","3,279","$12,608,372","3,260",8/19/16,12/1/16,KuboMovie,,,,,Kubo_and_the_Two_Strings,97.0,86.0
255,255,72,War Dogs,WB,"$43,034,523","3,258","$14,685,305","3,258",8/19/16,10/20/16,WarDogs,,,,,war_dogs_2016,59.0,69.0
256,256,95,Ben-Hur (2016),Par.,"$26,410,477","3,084","$11,203,815","3,084",8/19/16,10/6/16,BENHUR ,,,,,Ben-Hur_2016,25.0,53.0
257,257,31,Sausage Party,Sony,"$97,685,686","3,135","$34,263,534","3,103",8/12/16,12/22/16,SausagePartyMovie,,,,,Sausage_Party,82.0,50.0
258,258,40,Pete's Dragon (2016),BV,"$76,233,151","3,702","$21,514,095","3,702",8/12/16,12/15/16,PetesDragon ,,,,,Petes_Dragon_2016,88.0,72.0
259,259,92,Florence Foster Jenkins,Par.,"$27,383,770","1,528","$6,601,313","1,528",8/12/16,10/27/16,FlorenceFosterJenkins,,,,,florence_foster_jenkins_2016,87.0,68.0
260,260,9,Suicide Squad,WB,"$325,100,054","4,255","$133,682,248","4,255",8/5/16,11/10/16,SuicideSquad,,,,,suicide_squad_2016,27.0,60.0
261,261,129,Cafe Society,LGF,"$11,103,205",631,"$359,289",5,8/5/16,10/6/16,CafeSociety,,,,,cafe_society_2016,70.0,56.0
262,262,15,Jason Bourne,Uni.,"$162,434,410","4,039","$59,215,365","4,026",7/29/16,12/22/16,JasonBourne,,,,,Jason_Bourne,55.0,56.0
263,263,25,Bad Moms,STX,"$113,257,297","3,215","$23,817,340","3,215",7/29/16,10/27/16,BadMomsXmas,,,,,Bad_Moms,58.0,63.0
264,264,76,Nerve,LGF,"$38,583,626","2,538","$9,445,456","2,538",7/27/16,10/6/16,NERVE,,,,,nerve_2016,66.0,66.0
265,265,16,Star Trek Beyond,Par.,"$158,848,340","3,928","$59,253,211","3,928",7/22/16,10/20/16,StarTrekBeyond,,,,,Star_Trek_Beyond,85.0,80.0
266,266,45,Lights Out,WB (NL),"$67,268,835","2,835","$21,688,103","2,818",7/22/16,9/29/16,LightsOutMovie,,,,,lights_out_2016,76.0,62.0
267,267,49,Ice Age: Collision Course,Fox,"$64,063,008","3,997","$21,373,064","3,992",7/22/16,11/3/16,IceAge,ICEAGE,,,,Ice_Age_Collision_Course,16.0,39.0
268,268,123,Hillary's America: The Secret History of the Democratic Party,QF,"$13,099,931","1,217","$74,814",3,7/22/16,10/13/16,HillarysAmerica,,,,,Hillarys_America_The_Secret_History_of_the_Democratic_Party,4.0,80.0
269,269,21,Ghostbusters (2016),Sony,"$128,350,574","3,963","$46,018,755","3,963",7/15/16,11/10/16,Ghostbusters2016 ,,,,,Ghostbusters_2016,74.0,51.0
270,270,116,The Infiltrator,BG,"$15,436,808","1,601","$5,303,775","1,601",7/13/16,10/6/16,TheInfiltrator,,,,,The_Infiltrator,70.0,71.0
271,271,4,The Secret Life of Pets,Uni.,"$368,384,330","4,381","$104,352,905","4,370",7/8/16,12/29/16,TheSecretLifeofPets,,,,,The_Secret_Life_of_Pets,74.0,62.0
272,272,71,Mike and Dave Need Wedding Dates,Fox,"$46,009,673","3,008","$16,628,170","2,982",7/8/16,10/13/16,MikeAndDave ,,,,,Mike_and_Dave_Need_Wedding_Dates,35.0,51.0
273,273,23,The Legend of Tarzan,WB,"$126,643,061","3,591","$38,527,856","3,561",7/1/16,9/15/16,LegendOfTarzan,,,,,The_Legend_of_Tarzan,37.0,59.0
274,274,38,The Purge: Election Year,Uni.,"$79,213,375","2,821","$31,515,110","2,796",7/1/16,10/13/16,ThePurgeElectionYear,,,,,The_Purge_Election_Year,53.0,48.0
275,275,59,The BFG,BV,"$55,483,770","3,392","$18,775,350","3,357",7/1/16,10/13/16,TheBFG,,,,,the_bfg_2016,75.0,57.0
276,276,148,Swiss Army Man,A24,"$4,210,454",636,"$105,453",3,7/1/16,9/29/16,SwissArmyMan ,,,,,Swiss_Army_Man,70.0,72.0
277,277,27,Independence Day: Resurgence,Fox,"$103,144,286","4,130","$41,039,944","4,130",6/24/16,9/15/16,IndependenceDay,,,,,Independence_Day_Resurgence,30.0,30.0
278,278,61,The Shallows,Sony,"$55,124,043","2,962","$16,800,868","2,962",6/24/16,9/29/16,TheShallows,,,,,The_Shallows,78.0,59.0
279,279,102,Free State of Jones,STX,"$20,810,036","2,815","$7,572,206","2,815",6/24/16,7/28/16,freestateofjones,,,,,Free_State_of_Jones,46.0,63.0
280,280,162,The Neon Demon,BG,"$1,333,124",783,"$589,014",783,6/24/16,8/4/16,TheNeonDemon,,,,,The_Neon_Demon,57.0,51.0
281,281,2,Finding Dory,BV,"$486,295,561","4,305","$135,060,273","4,305",6/17/16,12/8/16,FindingDory,,,,,Finding_Dory,94.0,84.0
282,282,22,Central Intelligence,WB (NL),"$127,440,871","3,508","$35,535,250","3,508",6/17/16,9/1/16,CentralIntelligence,,,,,Central_Intelligence,70.0,61.0
283,283,28,The Conjuring 2,WB (NL),"$102,470,008","3,356","$40,406,314","3,343",6/10/16,8/25/16,TheConjuring2,,,,,The_Conjuring_2,79.0,81.0
284,284,48,Now You See Me 2,LG/S,"$65,075,540","3,232","$22,383,146","3,232",6/10/16,8/25/16,NowYouSeeMe2,,,,,Now_You_See_Me_2,34.0,53.0
285,285,69,Warcraft,Uni.,"$47,365,290","3,406","$24,166,110","3,400",6/10/16,9/8/16,Warcraft,BattleForAzeroth,WoW,,,Warcraft,27.0,77.0
286,286,37,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$82,051,601","4,071","$35,316,382","4,071",6/3/16,9/8/16,TMNT2,,,,,Teenage_Mutant_Ninja_Turtles_Out_of_the_Shadows,37.0,47.0
287,287,58,Me Before You,WB (NL),"$56,245,075","2,762","$18,723,269","2,704",6/3/16,8/18/16,MeBeforeYou ,,,,,Me_Before_You,56.0,73.0
288,288,122,Love & Friendship,RAtt.,"$14,016,568",826,"$133,513",4,6/3/16,9/22/16,LoveAndFriendship,,,,,Love_and_Friendship,97.0,60.0
